id,Height_M,Spread_M,Carbon_Sequest_YR,Pollution_Removal_in_1_year,Pollution_Removal_in_2_years,Pollution_Removal_in_3_year,Pollution_Removal_in_4_years,Pollution_Removal_in_5_years,Actual_Pollution_Year_grams,lat,lon
16,18.0,9.0,17.3,469.55425024367764,515.9699488523881,562.3856474610986,608.8013460698094,655.2170446785199,428.0,51.532339,-0.128696
18,12.0,7.0,8.9,260.7190706893466,307.1347692980572,353.55046790676784,399.96616651547833,446.38186512418883,248.7,51.551331,-0.163724
20,26.0,18.0,43.0,1286.3895141879013,1332.805212796612,1379.2209114053223,1425.6366100140328,1472.0523086227436,1337.7,51.534714,-0.130492
24,12.0,7.0,18.0,228.31419916105415,274.72989776976476,321.1455963784754,367.5612949871859,413.9769935958964,225.4,51.551717,-0.202984
38,8.0,4.0,1.6,-27.719802350364205,18.69589625834635,65.11159486705697,111.52729347576746,157.94299208447796,16.3,51.540165,-0.131684
52,14.0,9.0,12.1,453.1216691077393,499.5373677164499,545.9530663251605,592.368764933871,638.7844635425815,401.1,51.558423,-0.139711
54,14.0,12.0,11.5,734.7425932232031,781.1582918319136,827.5739904406244,873.9896890493349,920.4053876580454,466.2,51.558424,-0.145266
64,13.0,6.0,23.6,123.9487060110198,170.3644046197303,216.7801032284409,263.1958018371514,309.611500445862,173.8,51.550534000000006,-0.205731
75,23.0,12.0,39.8,712.6037175516296,759.0194161603401,805.4351147690506,851.8508133777614,898.2665119864719,636.5,51.540353,-0.157914
76,21.0,10.0,6.3,628.098658397771,674.5143570064818,720.930055615192,767.3457542239028,813.7614528326135,434.7,51.52558,-0.117323
82,18.0,6.0,14.7,199.3284457865144,245.74414439522502,292.15984300393563,338.57554161264613,384.99124022135675,169.6,51.521336,-0.138101
96,21.0,16.0,24.9,1120.8332037429634,1167.2489023516741,1213.6646009603846,1260.0802995690951,1306.4959981778056,1029.0,51.543744000000004,-0.148542
106,23.0,10.0,32.1,553.7003314430606,600.1160300517713,646.5317286604816,692.9474272691923,739.3631258779026,442.0,51.522093,-0.112062
107,23.0,11.0,31.8,647.9300703042036,694.3457689129143,740.7614675216248,787.1771661303353,833.592864739046,534.9,51.544875,-0.169629
110,12.0,3.0,8.2,-109.43403245810998,-63.018333849399426,-16.602635240688812,29.813063368021744,76.22876197673224,41.2,51.539059,-0.131346
113,20.0,12.0,40.8,682.830504722903,729.2462033316137,775.661901940324,822.0776005490347,868.4932991577452,605.0,51.525953,-0.116355
117,8.0,6.0,5.1,146.13967830972445,192.55537691843494,238.97107552714556,285.38677413585606,331.80247274456667,125.5,51.53645,-0.13808199999999998
134,16.0,9.0,17.3,452.0794249533392,498.4951235620498,544.9108221707602,591.3265207794709,637.7422193881816,340.3,51.546484,-0.177602
137,22.0,13.0,22.3,859.3448119309694,905.7605105396801,952.1762091483906,998.5919077571011,1045.0076063658119,697.8,51.550129999999996,-0.152974
147,23.0,16.0,23.5,1143.2933938838084,1189.709092492519,1236.1247911012294,1282.5404897099402,1328.9561883186507,1057.0,51.55318,-0.15751199999999999
148,17.0,12.0,14.7,749.5597115004102,795.9754101091207,842.3911087178312,888.8068073265417,935.2225059352522,584.0,51.55404,-0.20746599999999998
153,19.0,16.0,22.5,1111.9047181963506,1158.320416805061,1204.7361154137716,1251.1518140224823,1297.5675126311928,1010.3,51.557237,-0.146975
175,24.0,15.0,27.1,1046.049850520212,1092.4655491289225,1138.881247737633,1185.2969463463437,1231.712644955054,945.4,51.542351000000004,-0.134993
180,20.0,11.0,12.4,690.800745297144,737.2164439058542,783.632142514565,830.0478411232755,876.463539731986,517.2,51.550213,-0.15272
191,16.0,9.0,20.0,442.464792741648,488.8804913503586,535.2961899590691,581.7118885677796,628.1275871764904,428.0,51.532658000000005,-0.133114
207,16.0,8.0,15.4,365.6838308572777,412.0995294659883,458.51522807469894,504.9309266834093,551.34662529212,278.2,51.53351,-0.130485
212,23.0,18.0,38.0,1277.9821507184886,1324.397849327199,1370.8135479359096,1417.2292465446203,1463.6449451533306,1302.3,51.515277000000005,-0.117724
214,11.0,7.0,19.3,214.94751915470033,261.36321776341094,307.77891637212144,354.19461498083206,400.61031358954267,225.4,51.548146,-0.201795
216,19.0,10.0,34.8,509.1360486506927,555.5517472594031,601.9674458681138,648.3831444768241,694.7988430855348,434.7,51.556658,-0.159499
221,27.0,16.0,17.9,1198.1845038665112,1244.6002024752217,1291.0159010839325,1337.431599692643,1383.8472983013535,1094.3,51.531185,-0.13713399999999998
228,17.0,12.0,17.9,738.1645918421095,784.58029045082,830.9959890595305,877.4116876682413,923.8273862769515,584.0,51.553569,-0.20691500000000002
238,15.0,9.0,8.3,475.39078634714065,521.8064849558511,568.2221835645616,614.6378821732721,661.0535807819829,428.0,51.527097,-0.131956
245,20.0,19.0,27.1,1383.7459855122452,1430.1616841209554,1476.577382729666,1522.993081338377,1569.4087799470872,1385.2,51.5597,-0.17416199999999998
249,17.0,10.0,27.4,518.0124375701746,564.4281361788849,610.8438347875956,657.2595333963061,703.6752320050166,420.2,51.556273,-0.19026700000000002
265,23.0,16.0,41.7,1078.4836508272235,1124.899349435934,1171.3150480446445,1217.730746653355,1264.1464452620658,1057.0,51.539821999999994,-0.171553
