"NAME","GSS_CODE","LAGSSCODE","Lon","Lat","Pollution_Gi"
"Swiss Cottage","E05000144","E09000007",-0.176532877076412,51.5422822259136,-1.30692203103901
"Highgate","E05000137","E09000007",-0.146023768693509,51.5638491183237,-1.26271690634921
"Kilburn","E05000140","E09000007",-0.190871384837545,51.5404610577617,-1.27642295365502
"Bloomsbury","E05000129","E09000007",-0.130059131182796,51.5224274064516,3.12604429155795
"Holborn and Covent Garden","E05000138","E09000007",-0.118785599287622,51.5186768539626,2.80574535571386
"St. Pancras and Somers Town","E05000143","E09000007",-0.133013370568562,51.534583709699,1.49082652306739
"Camden Town with Primrose Hill","E05000130","E09000007",-0.148679557742782,51.5412691181102,-0.563250337135315
"Cantelowes","E05000131","E09000007",-0.133380179723502,51.5449778322581,-1.20207402037178
"King's Cross","E05000141","E09000007",-0.121027964334705,51.5269784554184,3.16826176172784
"Fortune Green","E05000132","E09000007",-0.202191021555764,51.5526421208997,-1.01406502192188
"Frognal and Fitzjohns","E05000133","E09000007",-0.184928898710866,51.556209553407,-1.47008350127034
"Gospel Oak","E05000134","E09000007",-0.155694701540957,51.5526914493106,-1.16018042745766
"Hampstead Town","E05000135","E09000007",-0.171663389097744,51.5559496860902,-0.0585547784232091
"Kentish Town","E05000139","E09000007",-0.139079938561035,51.5516129159256,-1.21597470018329
"West Hampstead","E05000145","E09000007",-0.194037834246575,51.5485961342466,-0.939483706554989
"Belsize","E05000128","E09000007",-0.166808216071429,51.5461012785714,-0.641234016660142
"Haverstock","E05000136","E09000007",-0.152305796078431,51.5466891756863,-1.18807183687243
"Regent's Park","E05000142","E09000007",-0.13972819001218,51.5303783483557,1.58804895792774
